Model,PCs,Threshold_Type,Accuracy,Correct,Sensitivity,Specificity,F1_Score,ROC_AUC
RF,5,Standard_0.5,0.47058823529411764,8/17,0.5555555555555556,0.375,0.5263157894736842,0.3611111111111111
RF,5,Tuned_Youden,0.5294117647058824,9/17,0.7777777777777778,0.25,0.6363636363636364,0.3611111111111111
SVC,5,Standard_0.5,0.5882352941176471,10/17,0.5555555555555556,0.625,0.5882352941176471,0.6527777777777777
SVC,5,Tuned_Youden,0.5294117647058824,9/17,0.5555555555555556,0.5,0.5555555555555556,0.6527777777777777
GB,5,Standard_0.5,0.29411764705882354,5/17,0.3333333333333333,0.25,0.3333333333333333,0.2916666666666667
GB,5,Tuned_Youden,0.5294117647058824,9/17,0.7777777777777778,0.25,0.6363636363636364,0.2916666666666667
RF,8,Standard_0.5,0.47058823529411764,8/17,0.5555555555555556,0.375,0.5263157894736842,0.3055555555555556
RF,8,Tuned_Youden,0.4117647058823529,7/17,0.6666666666666666,0.125,0.5454545454545454,0.3055555555555556
SVC,8,Standard_0.5,0.5882352941176471,10/17,0.5555555555555556,0.625,0.5882352941176471,0.6944444444444444
SVC,8,Tuned_Youden,0.8235294117647058,14/17,0.6666666666666666,1.0,0.8,0.6944444444444444
GB,8,Standard_0.5,0.29411764705882354,5/17,0.3333333333333333,0.25,0.3333333333333333,0.2777777777777778
GB,8,Tuned_Youden,0.4117647058823529,7/17,0.6666666666666666,0.125,0.5454545454545454,0.2777777777777778
