fold,test_case_code,true_y,strategy_A_k,strategy_A_var_explained,strategy_A_train_shape,strategy_A_test_shape,strategy_B_k,strategy_B_var_explained,strategy_B_train_shape,strategy_B_test_shape,cumulative_var_pc1,cumulative_var_pc2,cumulative_var_pc3,cumulative_var_pc5,cumulative_var_pc10
1,2601,1,5,0.7617,"(16, 12)","(1, 12)",9,0.9279,"(16, 16)","(1, 16)",0.2936,0.4457,0.5885,0.7617,0.9485
2,2602,1,5,0.7667,"(16, 12)","(1, 12)",8,0.9046,"(16, 15)","(1, 15)",0.2726,0.4238,0.5628,0.7667,0.9522
3,2603,0,5,0.7675,"(16, 12)","(1, 12)",8,0.9019,"(16, 15)","(1, 15)",0.2855,0.4436,0.5835,0.7675,0.9492
4,2604,0,5,0.7643,"(16, 12)","(1, 12)",8,0.9094,"(16, 15)","(1, 15)",0.2547,0.4063,0.5453,0.7643,0.9527
5,2605,1,5,0.75,"(16, 12)","(1, 12)",8,0.9019,"(16, 15)","(1, 15)",0.2549,0.4028,0.5395,0.75,0.9512
6,2606,0,5,0.7624,"(16, 12)","(1, 12)",8,0.9029,"(16, 15)","(1, 15)",0.2723,0.4247,0.5604,0.7624,0.9511
7,2607,0,5,0.7554,"(16, 12)","(1, 12)",8,0.9074,"(16, 15)","(1, 15)",0.2555,0.4046,0.5426,0.7554,0.9515
8,2608,0,5,0.7459,"(16, 12)","(1, 12)",9,0.9276,"(16, 16)","(1, 16)",0.2569,0.4013,0.5342,0.7459,0.9495
9,2610,1,5,0.7447,"(16, 12)","(1, 12)",9,0.925,"(16, 16)","(1, 16)",0.2661,0.4094,0.5403,0.7447,0.9471
10,2611,1,5,0.7483,"(16, 12)","(1, 12)",9,0.9307,"(16, 16)","(1, 16)",0.2643,0.4106,0.5436,0.7483,0.9517
11,2613,1,5,0.7476,"(16, 12)","(1, 12)",9,0.9305,"(16, 16)","(1, 16)",0.2695,0.4157,0.5485,0.7476,0.9498
12,2614,1,5,0.7666,"(16, 12)","(1, 12)",8,0.9076,"(16, 15)","(1, 15)",0.2684,0.4166,0.5486,0.7666,0.9505
13,2615,1,5,0.7512,"(16, 12)","(1, 12)",8,0.9024,"(16, 15)","(1, 15)",0.2648,0.4127,0.5428,0.7512,0.9524
14,2619,0,5,0.7403,"(16, 12)","(1, 12)",9,0.9238,"(16, 16)","(1, 16)",0.2617,0.3994,0.5325,0.7403,0.9458
15,2620,1,5,0.7389,"(16, 12)","(1, 12)",9,0.9232,"(16, 16)","(1, 16)",0.2616,0.4006,0.5335,0.7389,0.9463
16,2622,0,5,0.7445,"(16, 12)","(1, 12)",9,0.9229,"(16, 16)","(1, 16)",0.2677,0.4091,0.5414,0.7445,0.9452
17,2625,0,5,0.7414,"(16, 12)","(1, 12)",9,0.9238,"(16, 16)","(1, 16)",0.2712,0.4115,0.544,0.7414,0.9461
